iter	Passed	Remaining
0	0	64
1	7	389
2	8	276
3	8	214
4	9	179
5	9	155
6	10	141
7	11	127
8	11	116
9	11	107
10	12	101
11	12	95
12	13	90
13	13	85
14	14	81
15	14	77
16	15	74
17	15	71
18	16	68
19	16	66
20	17	64
21	17	61
22	17	60
23	18	58
24	18	56
25	19	54
26	19	53
27	20	51
28	20	50
29	21	49
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	25	38
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	34	22
61	35	21
62	35	21
63	36	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
